File,V,E,TalgoLi&,TalgoA,TalgoX,NBalgoLi&,NBalgoA,NBalgoX
tests19_770.point,770,4317,0.0358,5.1847,0,183,160,0
tests0_940.point,940,6274,0.0454,10.0989,0,178,159,0
tests9_820.point,820,4870,0.044,7.1695,0,175,162,0
tests6_930.point,930,6204,0.0449,9.0354,0,177,163,0
tests17_590.point,590,2539,0.0185,3.5434,0,168,152,0
tests10_1000.point,1000,7191,0.0666,13.7844,0,170,160,0
tests10_720.point,720,3770,0.0309,5.5481,0,165,157,0
tests2_550.point,550,2116,0.0182,2.4005,0,171,155,0
tests10_570.point,570,2375,0.0192,2.5834,0,174,157,0
tests12_550.point,550,2198,0.0159,2.2788,0,172,162,0
tests17_810.point,810,4698,0.0404,8.4026,0,176,149,0
tests10_970.point,970,6660,0.0535,10.6701,0,181,166,0
tests9_710.point,710,3572,0.0331,5.1185,0,173,161,0
tests13_510.point,510,1909,0.0133,2.0974,0,175,152,0
tests16_610.point,610,2713,0.0218,3.6875,0,172,161,0
tests9_740.point,740,4007,0.0322,5.7589,0,173,158,0
tests6_950.point,950,6574,0.0488,10.3361,0,178,163,0
tests3_890.point,890,5699,0.043,7.9367,0,170,152,0
tests16_920.point,920,6326,0.0459,9.1271,0,170,161,0
tests13_760.point,760,4044,0.0919,10.5802,0,175,156,0
tests13_540.point,540,2140,0.0148,2.2605,0,164,146,0
tests5_510.point,510,1868,0.0142,1.9126,0,166,149,0
tests13_860.point,860,5225,0.0362,7.2658,0,177,163,0
tests18_710.point,710,3639,0.0278,4.4065,0,174,153,0
tests17_790.point,790,4555,0.0352,5.6891,0,175,157,0
tests1_980.point,980,6838,0.0524,10.1976,0,174,158,0
tests9_630.point,630,2939,0.0218,3.1846,0,174,159,0
tests11_760.point,760,4129,0.0309,5.3324,0,171,167,0
tests5_530.point,530,1935,0.0174,1.9935,0,174,155,0
tests14_940.point,940,6502,0.0469,9.4627,0,174,161,0
tests12_920.point,920,6163,0.0411,8.4736,0,175,168,0
tests14_930.point,930,6224,0.0495,8.927,0,173,162,0
tests14_600.point,600,2559,0.0212,2.8482,0,173,162,0
tests9_550.point,550,2244,0.0149,2.3241,0,160,143,0
tests18_790.point,790,4463,0.0424,6.0328,0,171,154,0
tests13_800.point,800,4740,0.0374,7.1378,0,177,160,0
tests13_850.point,850,5199,0.0436,8.5529,0,178,162,0
tests3_620.point,620,2798,0.0196,3.0377,0,165,151,0
tests5_870.point,870,5496,0.0402,7.575,0,173,160,0
tests13_500.point,500,1746,0.0162,1.7332,0,176,156,0
tests19_950.point,950,6326,0.0513,9.6092,0,178,169,0
tests2_1000.point,1000,7200,0.0523,11.169,0,161,159,0
tests0_570.point,570,2369,0.0168,2.4883,0,171,158,0
tests0_960.point,960,6707,0.0525,10.3087,0,183,163,0
tests2_690.point,690,3440,0.0269,4.2071,0,172,157,0
tests8_550.point,550,2289,0.017,2.3445,0,174,156,0
tests12_770.point,770,4217,0.0336,5.2559,0,169,163,0
tests5_820.point,820,4814,0.0364,6.4771,0,174,158,0
tests1_630.point,630,2804,0.0228,3.1235,0,173,157,0
tests3_840.point,840,5012,0.0388,6.7253,0,174,160,0
tests1_920.point,920,6074,0.0452,8.7104,0,175,165,0
tests3_790.point,790,4544,0.0344,5.8966,0,177,162,0
tests16_600.point,600,2615,0.0201,2.793,0,164,154,0
tests4_890.point,890,5651,0.045,8.1841,0,182,169,0
tests11_550.point,550,2247,0.0345,4.6197,0,172,154,0
tests9_560.point,560,2248,0.0204,2.4315,0,165,153,0
tests13_900.point,900,5876,0.0419,7.9814,0,177,169,0
tests4_860.point,860,5279,0.0404,7.472,0,179,159,0
tests5_580.point,580,2402,0.0194,2.5069,0,168,156,0
tests19_710.point,710,3670,0.029,4.3579,0,176,154,0
tests15_700.point,700,3617,0.0285,4.3678,0,175,164,0
tests8_950.point,950,6534,0.0509,9.6213,0,169,157,0
tests7_680.point,680,3299,0.0254,3.8251,0,174,161,0
tests1_720.point,720,3870,0.0301,4.6045,0,177,161,0
tests7_760.point,760,4256,0.0302,5.3062,0,171,163,0
tests3_930.point,930,6316,0.0463,9.8243,0,182,173,0
tests15_750.point,750,3975,0.0311,4.9138,0,171,164,0
tests7_1000.point,1000,7323,0.0546,11.0956,0,180,168,0
tests15_500.point,500,1822,0.0141,1.7828,0,164,154,0
tests0_770.point,770,4336,0.0339,5.2431,0,181,156,0
tests3_860.point,860,5294,0.0388,7.2322,0,177,161,0
tests16_860.point,860,5333,0.041,7.2958,0,184,169,0
tests15_760.point,760,4077,0.0313,5.268,0,173,160,0
tests13_680.point,680,3377,0.0258,3.8069,0,170,157,0
tests12_970.point,970,6990,0.0474,10.1717,0,168,163,0
tests18_580.point,580,2593,0.0185,2.6862,0,165,148,0
tests4_590.point,590,2521,0.0194,2.5759,0,177,155,0
tests5_740.point,740,3858,0.0334,4.8074,0,168,161,0
