File,V,E,TalgoLi&,TalgoA,TalgoX,NBalgoLi&,NBalgoA,NBalgoX
tests12_570.point,570,2312,0.0242,3.6712,0,164,153,0
tests11_800.point,800,4638,0.0521,8.5278,0,178,160,0
tests13_790.point,790,4589,0.0396,9.0178,0,163,163,0
tests18_560.point,560,2199,0.0163,3.0524,0,171,157,0
tests7_750.point,750,4103,0.0259,4.7631,0,168,155,0
tests12_980.point,980,6920,0.0445,11.1515,0,180,159,0
tests15_850.point,850,5200,0.0657,6.0693,0,180,166,0
tests2_640.point,640,2891,0.0227,4.9014,0,177,160,0
tests11_510.point,510,1863,0.0355,3.4928,0,165,146,0
tests19_790.point,790,4519,0.0618,7.0603,0,175,163,0
tests13_910.point,910,5948,0.042,11.4146,0,179,169,0
tests15_510.point,510,1873,0.0142,1.897,0,169,158,0
tests8_870.point,870,5475,0.0865,14.3074,0,171,161,0
tests2_980.point,980,7021,0.043,14.9562,0,169,169,0
tests10_770.point,770,4224,0.0359,5.5524,0,180,160,0
tests1_500.point,500,1813,0.0179,2.6935,0,174,147,0
tests12_760.point,760,4081,0.0289,4.3808,0,179,162,0
tests0_780.point,780,4343,0.0265,5.5153,0,174,162,0
tests11_920.point,920,6115,0.0388,9.3368,0,171,165,0
tests8_940.point,940,6218,0.0467,13.6326,0,184,163,0
tests16_940.point,940,6373,0.0351,8.3638,0,182,159,0
tests10_680.point,680,3248,0.0208,3.2553,0,162,164,0
tests4_770.point,770,4187,0.027,4.5274,0,170,163,0
tests4_620.point,620,2852,0.023,2.7548,0,180,165,0
tests3_600.point,600,2642,0.0182,2.3187,0,175,153,0
tests14_520.point,520,1992,0.0117,1.6435,0,165,151,0
tests1_580.point,580,2400,0.0174,2.2352,0,174,155,0
tests6_770.point,770,4357,0.031,4.5736,0,174,159,0
tests15_880.point,880,5637,0.0403,6.7862,0,171,159,0
tests7_620.point,620,2782,0.0183,2.6648,0,173,155,0
tests3_650.point,650,3080,0.0193,2.9578,0,177,152,0
tests19_690.point,690,3512,0.0224,3.4083,0,178,165,0
tests5_500.point,500,1833,0.011,1.4268,0,159,145,0
tests8_920.point,920,6173,0.0355,7.3415,0,180,168,0
tests18_540.point,540,2052,0.0148,2.0957,0,167,160,0
tests2_750.point,750,4036,0.025,5.6078,0,171,161,0
tests18_920.point,920,6227,0.0826,8.6845,0,166,164,0
tests1_570.point,570,2381,0.0199,2.4647,0,168,154,0
tests5_930.point,930,6066,0.0503,11.3016,0,173,165,0
tests13_720.point,720,3723,0.0244,3.8724,0,177,164,0
tests18_770.point,770,4289,0.0296,5.0085,0,174,161,0
tests14_900.point,900,5821,0.0421,8.0865,0,172,159,0
tests16_850.point,850,5327,0.0336,7.6195,0,167,164,0
tests17_700.point,700,3610,0.0348,4.2699,0,165,160,0
tests8_610.point,610,2738,0.019,3.4499,0,168,150,0
tests12_640.point,640,2901,0.0399,3.1802,0,175,157,0
tests9_900.point,900,5754,0.0559,8.6078,0,170,168,0
tests4_810.point,810,4805,0.0286,6.1887,0,172,164,0
tests10_650.point,650,3027,0.0212,3.2193,0,166,155,0
tests2_870.point,870,5434,0.0731,8.0615,0,171,162,0
tests2_840.point,840,4987,0.0315,6.0503,0,174,164,0
tests10_620.point,620,2688,0.0182,2.8605,0,170,156,0
